Name,Description,McCard,CardName,CardId,CanIP,CanPort,LmtLogic,AxisIndex,Resolution,Acc,Dec,VelLow,VelHigh,IsFeed,HomeCalibration,HomeSpeedAcc,HomeSpeedDec,HomeSpeedVelLow,HomeMode,HomeDir,Equ_Idx
s1_ccdx,ccdx,GHJ,GHJ,30,192.168.1.10,2017,0,1,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_turner,turner,GHJ,GHJ,30,192.168.1.10,2017,0,2,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_ccdz1,ccdz1,GHJ,GHJ,30,192.168.1.10,2017,0,3,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_ccdz2,ccdz2,GHJ,GHJ,30,192.168.1.10,2017,0,4,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_ccdz3,ccdz3,GHJ,GHJ,30,192.168.1.10,2017,0,5,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_ccdz4,ccdz4,GHJ,GHJ,30,192.168.1.10,2017,0,6,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_ccdz5,ccdz5,GHJ,GHJ,30,192.168.1.10,2017,0,7,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_ccdz6,ccdz6,GHJ,GHJ,30,192.168.1.10,2017,0,8,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
s1_ccdz7,ccdz7,GHJ,GHJ,30,192.168.1.10,2017,0,9,0.001,100000,100000,10000,10000,TRUE,1,100000,100000,1000,11,+,0
